*Step  = 0
*Time  = 0
*Data  = x;y;z
1 -0.4 -0.4 0.1
2 -0.2 -0.4 0.1
3 -1.73472347598e-18 -0.4 0.1
4 0.2 -0.4 0.1
5 0.4 -0.4 0.1
6 -0.4 -0.2 0.1
7 -0.2 -0.2 0.1
8 -1.73472347598e-18 -0.2 0.1
9 0.2 -0.2 0.1
10 0.4 -0.2 0.1
11 -0.4 0 0.1
12 -0.2 0 0.1
13 -1.73472347598e-18 0 0.1
14 0.2 0 0.1
15 0.4 0 0.1
16 -0.4 0.2 0.1
17 -0.2 0.2 0.1
18 -1.73472347598e-18 0.2 0.1
19 0.2 0.2 0.1
20 0.4 0.2 0.1
21 -0.4 0.4 0.1
22 -0.2 0.4 0.1
23 -1.73472347598e-18 0.4 0.1
24 0.2 0.4 0.1
25 0.4 0.4 0.1
26 -0.4 -0.4 0.3
27 -0.2 -0.4 0.3
28 -1.73472347598e-18 -0.4 0.3
29 0.2 -0.4 0.3
30 0.4 -0.4 0.3
31 -0.4 -0.2 0.3
32 -0.2 -0.2 0.3
33 -1.73472347598e-18 -0.2 0.3
34 0.2 -0.2 0.3
35 0.4 -0.2 0.3
36 -0.4 0 0.3
37 -0.2 0 0.3
38 -1.73472347598e-18 0 0.3
39 0.2 0 0.3
40 0.4 0 0.3
41 -0.4 0.2 0.3
42 -0.2 0.2 0.3
43 -1.73472347598e-18 0.2 0.3
44 0.2 0.2 0.3
45 0.4 0.2 0.3
46 -0.4 0.4 0.3
47 -0.2 0.4 0.3
48 -1.73472347598e-18 0.4 0.3
49 0.2 0.4 0.3
50 0.4 0.4 0.3
51 -0.4 -0.4 0.5
52 -0.2 -0.4 0.5
53 -1.73472347598e-18 -0.4 0.5
54 0.2 -0.4 0.5
55 0.4 -0.4 0.5
56 -0.4 -0.2 0.5
57 -0.2 -0.2 0.5
58 -1.73472347598e-18 -0.2 0.5
59 0.2 -0.2 0.5
60 0.4 -0.2 0.5
61 -0.4 0 0.5
62 -0.2 0 0.5
63 -1.73472347598e-18 0 0.5
64 0.2 0 0.5
65 0.4 0 0.5
66 -0.4 0.2 0.5
67 -0.2 0.2 0.5
68 -1.73472347598e-18 0.2 0.5
69 0.2 0.2 0.5
70 0.4 0.2 0.5
71 -0.4 0.4 0.5
72 -0.2 0.4 0.5
73 -1.73472347598e-18 0.4 0.5
74 0.2 0.4 0.5
75 0.4 0.4 0.5
76 -0.4 -0.4 0.7
77 -0.2 -0.4 0.7
78 -1.73472347598e-18 -0.4 0.7
79 0.2 -0.4 0.7
80 0.4 -0.4 0.7
81 -0.4 -0.2 0.7
82 -0.2 -0.2 0.7
83 -1.73472347598e-18 -0.2 0.7
84 0.2 -0.2 0.7
85 0.4 -0.2 0.7
86 -0.4 0 0.7
87 -0.2 0 0.7
88 -1.73472347598e-18 0 0.7
89 0.2 0 0.7
90 0.4 0 0.7
91 -0.4 0.2 0.7
92 -0.2 0.2 0.7
93 -1.73472347598e-18 0.2 0.7
94 0.2 0.2 0.7
95 0.4 0.2 0.7
96 -0.4 0.4 0.7
97 -0.2 0.4 0.7
98 -1.73472347598e-18 0.4 0.7
99 0.2 0.4 0.7
100 0.4 0.4 0.7
101 -0.4 -0.4 0.9
102 -0.2 -0.4 0.9
103 -1.73472347598e-18 -0.4 0.9
104 0.2 -0.4 0.9
105 0.4 -0.4 0.9
106 -0.4 -0.2 0.9
107 -0.2 -0.2 0.9
108 -1.73472347598e-18 -0.2 0.9
109 0.2 -0.2 0.9
110 0.4 -0.2 0.9
111 -0.4 0 0.9
112 -0.2 0 0.9
113 -1.73472347598e-18 0 0.9
114 0.2 0 0.9
115 0.4 0 0.9
116 -0.4 0.2 0.9
117 -0.2 0.2 0.9
118 -1.73472347598e-18 0.2 0.9
119 0.2 0.2 0.9
120 0.4 0.2 0.9
121 -0.4 0.4 0.9
122 -0.2 0.4 0.9
123 -1.73472347598e-18 0.4 0.9
124 0.2 0.4 0.9
125 0.4 0.4 0.9
*Step  = 1
*Time  = 0.1
*Data  = x;y;z
1 -0.400607869506 -0.400607869506 0.0995266025814
2 -0.200282107335 -0.400606864295 0.0995782369619
3 -3.46944695195e-18 -0.400621128558 0.0995817651846
4 0.200282107335 -0.400606864295 0.0995782369619
5 0.400607869506 -0.400607869506 0.0995266025814
6 -0.400606864295 -0.200282107335 0.0995782369619
