*Step  = 0
*Time  = 0
*Data  = x;y;z
1 -1.1 0.5 0.1
2 -0.9 0.5 0.1
3 -0.7 0.5 0.1
4 -0.5 0.5 0.1
5 -0.3 0.5 0.1
6 -1.1 0.7 0.1
7 -0.9 0.7 0.1
8 -0.7 0.7 0.1
9 -0.5 0.7 0.1
10 -0.3 0.7 0.1
11 -1.1 0.9 0.1
12 -0.9 0.9 0.1
13 -0.7 0.9 0.1
14 -0.5 0.9 0.1
15 -0.3 0.9 0.1
16 -1.1 1.1 0.1
17 -0.9 1.1 0.1
18 -0.7 1.1 0.1
19 -0.5 1.1 0.1
20 -0.3 1.1 0.1
21 -1.1 1.3 0.1
22 -0.9 1.3 0.1
23 -0.7 1.3 0.1
24 -0.5 1.3 0.1
25 -0.3 1.3 0.1
26 -1.1 0.5 0.3
27 -0.9 0.5 0.3
28 -0.7 0.5 0.3
29 -0.5 0.5 0.3
30 -0.3 0.5 0.3
31 -1.1 0.7 0.3
32 -0.9 0.7 0.3
33 -0.7 0.7 0.3
34 -0.5 0.7 0.3
35 -0.3 0.7 0.3
36 -1.1 0.9 0.3
37 -0.9 0.9 0.3
38 -0.7 0.9 0.3
39 -0.5 0.9 0.3
40 -0.3 0.9 0.3
41 -1.1 1.1 0.3
42 -0.9 1.1 0.3
43 -0.7 1.1 0.3
44 -0.5 1.1 0.3
45 -0.3 1.1 0.3
46 -1.1 1.3 0.3
47 -0.9 1.3 0.3
48 -0.7 1.3 0.3
49 -0.5 1.3 0.3
50 -0.3 1.3 0.3
51 -1.1 0.5 0.5
52 -0.9 0.5 0.5
53 -0.7 0.5 0.5
54 -0.5 0.5 0.5
55 -0.3 0.5 0.5
56 -1.1 0.7 0.5
57 -0.9 0.7 0.5
58 -0.7 0.7 0.5
59 -0.5 0.7 0.5
60 -0.3 0.7 0.5
61 -1.1 0.9 0.5
62 -0.9 0.9 0.5
63 -0.7 0.9 0.5
64 -0.5 0.9 0.5
65 -0.3 0.9 0.5
66 -1.1 1.1 0.5
67 -0.9 1.1 0.5
68 -0.7 1.1 0.5
69 -0.5 1.1 0.5
70 -0.3 1.1 0.5
71 -1.1 1.3 0.5
72 -0.9 1.3 0.5
73 -0.7 1.3 0.5
74 -0.5 1.3 0.5
75 -0.3 1.3 0.5
76 -1.1 0.5 0.7
